DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00466,Picrotoxin,124-87-8,SmallMoleculeDrug,,,31304,46506796,,PA164777007,,,,,"",,,Picrotoxin,,,29044,,DAP000676
DB00616,Candoxatril,123122-55-4,SmallMoleculeDrug,,D01070,5362417,46509011,3353,PA164764517,,,,,"",,,Candoxatril,,,16736409,50084625,DAP001145
DB01134,Desoxycorticosterone Pivalate,808-48-0,SmallMoleculeDrug,,,11876263,46506381,50782,PA449245,,,,,22599,,,Desoxycorticosterone_Pivalate,,,10050591,,DAP001106
DB01341,Dihydroquinidine barbiturate,"",SmallMoleculeDrug,,,,46507930,,,,,,,"",,,,,,,,
DB01342,Forasartan,145216-43-9,SmallMoleculeDrug,,D04243,132706,46505698,,PA164776845,,,,,"",,,Forasartan,,,117146,50049209,DAP001256
DB01347,Saprisartan,146623-69-0,SmallMoleculeDrug,,,60921,46508176,,PA164746338,,,,,"",,,,,,54892,,DAP001257
DB01375,Aluminium monostearate,7047-84-9,SmallMoleculeDrug,,D01867,16682987,46505934,31197,PA164746763,,,,,"",,,Aluminium_monostearate,,,8422411,,DAP000798
DB01434,19-norandrostenedione,734-32-7,SmallMoleculeDrug,C14500,,92834,46505377,34187,,,,,,"",,http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/19n_0010.shtml,19-Norandrostenedione,,,83803,,
DB01439,3-Methylthiofentanyl,86052-04-2,SmallMoleculeDrug,,,62296,46506995,53763,,,,,,"",,,3-Methylthiofentanyl,,,56092,,
DB01441,"5-Methoxy-N,N-diisopropyltryptamine",4021-34-5,SmallMoleculeDrug,,,151182,46506676,48282,,,,,,"",,,5-Methoxy-diisopropyltryptamine,,,133247,,
DB01442,MMDA,13674-05-0,SmallMoleculeDrug,,,26175,46506802,,,,,,,"",,,MMDA_%28psychedelic%29,,,24386,,
DB01443,19-Nor-5-androstenedione,19289-77-1,SmallMoleculeDrug,,,18633059,46508864,,,,,,,"",,,19-Nor-5-androstenedione,,,18612511,,
DB01444,Dimethylthiambutene,524-84-5,SmallMoleculeDrug,,,10668,46505069,59781,,,,,,"",,,Dimethylthiambutene,,,10218,,
DB01445,Bufotenine,487-93-4,SmallMoleculeDrug,C08299,,10257,46507174,3210,,,,,,"",,,Bufotenine,,,9839,50024206,
DB01446,Alpha-methyltryptamine,299-26-3,SmallMoleculeDrug,,,9287,46507024,59020,,,,,,"",,,Alpha-Methyltryptamine,,,8930,50014210,
DB01447,4-Methylaminorex,3568-94-3,SmallMoleculeDrug,,,92196,46508135,,,,,,,"",,,4-Methylaminorex,,,83237,,
DB01448,19-Nor-4-androstenedione,,SmallMoleculeDrug,,,,46505829,,,,,,,"",,,,,,,,
DB01450,Dihydroetorphine,14357-76-7,SmallMoleculeDrug,,,107765,46507682,,,,,,,"",,,Dihydroetorphine,,,96924,,
DB01451,1-Androstenedione,,SmallMoleculeDrug,,,11196935,46504446,133930,,,,,,"",,,1-Androstenedione,,,9372004,,
DB01453,Beta-hydroxyfentanyl,78995-10-5,SmallMoleculeDrug,,,62278,46505363,,,,,,,"",,,Beta-hydroxyfentanyl,,,56079,,
DB01454,Midomafetamine,42542-10-9,SmallMoleculeDrug,C07577,,1615,46506404,1391,PA131887008,,,,,"",,,"3,4-Methylenedioxymethamphetamine",,,1556,50010588,
