microRNA,disease,disease_id
hsa-mir-27a,acute lymphoblastic leukemia,613065
hsa-let-7b,acute lymphoblastic leukemia,613065
hsa-mir-124a,acute lymphoblastic leukemia,613065
hsa-mir-128,acute lymphoblastic leukemia,613065
hsa-mir-142,acute lymphoblastic leukemia,613065
hsa-let-7e,acute lymphoblastic leukemia ,613065
hsa-mir-125a,acute lymphoblastic leukemia ,613065
hsa-mir-151*,acute lymphoblastic leukemia ,613065
hsa-mir-210,acute lymphoblastic leukemia ,613065
hsa-mir-22,acute lymphoblastic leukemia ,613065
hsa-mir-130b,acute lymphoblastic leukemia ,613065
hsa-mir-26a,acute lymphoblastic leukemia ,613065
hsa-mir-424,acute lymphoblastic leukemia ,613065
hsa-mir-155,acute lymphoblastic leukemia ,613065
hsa-mir-203,acute lymphoblastic leukemia ,613065
hsa-mir-27a,acute lymphoblastic leukemia ,613065
hsa-mir-124a,acute lymphoblastic leukemia ,613065
hsa-mir-451,acute lymphoblastic leukemia ,613065
hsa-mir-27b,acute lymphoblastic leukemia ,613065
hsa-mir-335,acute lymphoblastic leukemia ,613065
hsa-mir-128a,acute lymphoblastic leukemia ,613065
hsa-mir-128b,acute lymphoblastic leukemia ,613065
hsa-mir-221,acute lymphoblastic leukemia ,613065
hsa-let-7a,acute lymphoblastic leukemia ,613065
hsa-mir-223,acute lymphoblastic leukemia ,613065
hsa-mir-5,acute lymphoblastic leukemia ,613065
hsa-mir-196b,acute lymphoblastic leukemia ,613065
hsa-mir-708,acute lymphoblastic leukemia ,613065
hsa-mir-130a,acute lymphoblastic leukemia ,613065
hsa-let-7c,acute lymphoblastic leukemia ,613065
hsa-let-7b,acute lymphoblastic leukemia ,613065
hsa-mir-23a,acute lymphoblastic leukemia ,613065
hsa-mir-222,acute lymphoblastic leukemia ,613065
hsa-mir-21,acute lymphoblastic leukemia ,613065
hsa-mir-199b,acute lymphoblastic leukemia ,613065
hsa-mir-23b,acute lymphoblastic leukemia ,613065
hsa-mir-24,acute lymphoblastic leukemia ,613065
hsa-mir-29b,acute myelogeneous leukemia ,601626
hsa-let-7a,acute myeloid leukemia,601626
hsa-let-7c,acute myeloid leukemia,601626
hsa-mir-1,acute myeloid leukemia,601626
hsa-mir-125b,acute myeloid leukemia,601626
hsa-mir-126,acute myeloid leukemia,601626
hsa-mir-128,acute myeloid leukemia,601626
hsa-mir-155,acute myeloid leukemia,601626
hsa-mir-17,acute myeloid leukemia,601626
hsa-mir-181a,acute myeloid leukemia,601626
hsa-mir-199b,acute myeloid leukemia,601626
hsa-mir-20a,acute myeloid leukemia,601626
hsa-mir-223,acute myeloid leukemia,601626
hsa-mir-26a,acute myeloid leukemia,601626
hsa-mir-27a,acute myeloid leukemia,601626
hsa-mir-27b,acute myeloid leukemia,601626
hsa-mir-29a,acute myeloid leukemia,601626
hsa-mir-29b,acute myeloid leukemia,601626
hsa-mir-30c,acute myeloid leukemia,601626
hsa-mir-32,acute myeloid leukemia,601626
hsa-mir-328,acute myeloid leukemia,601626
hsa-mir-331,acute myeloid leukemia,601626
hsa-mir-370,acute myeloid leukemia,601626
hsa-mir-378,acute myeloid leukemia,601626
hsa-mir-424,acute myeloid leukemia,601626
hsa-mir-451,acute myeloid leukemia,601626
hsa-mir-486,acute myeloid leukemia,601626
hsa-mir-494,acute myeloid leukemia,601626
hsa-mir-720,acute myeloid leukemia,601626
hsa-mir-204,acute myeloid leukemia ,601626
hsa-mir-184,acute myeloid leukemia ,601626
hsa-let-7e,acute myeloid leukemia ,601626
hsa-mir-125a,acute myeloid leukemia ,601626
hsa-mir-151,acute myeloid leukemia ,601626
hsa-mir-151*,acute myeloid leukemia ,601626
hsa-mir-210,acute myeloid leukemia ,601626
hsa-mir-372,acute myeloid leukemia ,601626
hsa-mir-130b,acute myeloid leukemia ,601626
hsa-mir-302d,acute myeloid leukemia ,601626
hsa-mir-30a,acute myeloid leukemia ,601626
hsa-mir-26a,acute myeloid leukemia ,601626
hsa-mir-30d,acute myeloid leukemia ,601626
hsa-mir-374,acute myeloid leukemia ,601626
hsa-mir-195,acute myeloid leukemia ,601626
hsa-mir-92a,acute myeloid leukemia ,601626
hsa-mir-27a,acute myeloid leukemia ,601626
hsa-mir-324,acute myeloid leukemia ,601626
